ev,Peels
3.0,0.0016617867394
3.12,0.0020918091931
3.25,0.0032436042422
3.37,0.0031209945671
3.5,0.0027757815022
3.62,0.0031937708876
3.74,0.0011687172202
3.87,0.00035918558832
3.99,0.00045825188377
4.12,0.00054970803849
4.24,0.00056935947902
4.36,0.00055247197244
4.49,0.00052856045668
4.61,0.00051050651148
4.74,0.00048724152817
4.86,0.0004623666966
4.98,0.00043918132257
5.11,0.00041147965938
