grids,ys,values
4,0.7857829832341292,0.0011149217738
5,0.6286263865873033,0.0028632531941
6,0.5238553221560861,0.0035741912145
7,0.4490188475623595,0.002276531214
8,0.3928914916170646,0.0027286433807
10,0.31431319329365165,0.0027275231642
11,0.2857392666305924,0.0031132645482
13,0.24177937945665512,0.0030358532121
16,0.1964457458085323,0.0032288712993
