0	23.00424
1	22.99221
2	22.95611
3	22.89584
4	22.81131
5	22.70232
6	22.56866
7	22.41002
8	22.2261
9	22.01648
10	21.78069
11	21.51821
12	21.22843
13	20.91066
14	20.56414
15	20.18801
16	19.7813
17	19.34295
18	18.87178
19	18.36649
20	17.82567
21	17.24777
22	16.63118
23	15.97417
24	15.275
25	14.53203
26	13.74386
27	12.90961
28	12.02941
29	11.10517
30	10.14169
31	9.14844
32	8.14196
33	7.1486
34	6.20666
35	5.36528
36	4.6769
37	4.18236
38	3.89472
39	3.79302
40	3.83139
41	3.95576
42	4.11757
43	4.27964
44	4.41639
45	4.51142
46	4.55471
47	4.54034
48	4.46486
49	4.32617
50	4.12282
51	3.85348
52	3.51668
53	3.11053
54	2.6326
55	2.07975
56	1.448
57	0.73247
58	-0.07262
59	-0.97378
60	-1.97751
61	-3.08863
62	-4.30612
63	-5.61394
64	-6.96248
65	-8.23817
66	-9.24057
67	-9.737
68	-9.63243
69	-9.06407
70	-8.26909
71	-7.43097
72	-6.64775
73	-5.96031
74	-5.3807
75	-4.90853
76	-4.53876
77	-4.26529
78	-4.08241
79	-3.98542
80	-3.97083
81	-4.03645
82	-4.18145
83	-4.40641
84	-4.71349
85	-5.10663
86	-5.59199
87	-6.1785
88	-6.87887
89	-7.71112
90	-8.70116
91	-9.88731
92	-11.32878
93	-13.12298
94	-15.44523
95	-18.65531
96	-23.62741
97	-30.71072
98	-24.98966
99	-19.53393
100	-16.12563
101	-13.71764
102	-11.88826
103	-10.43832
104	-9.2596
105	-8.28727
106	-7.47986
107	-6.80948
108	-6.25683
109	-5.80828
110	-5.4542
111	-5.18793
112	-5.00507
113	-4.90317
114	-4.88146
115	-4.9408
116	-5.08374
117	-5.3147
118	-5.64036
119	-6.07031
120	-6.61799
121	-7.30243
122	-8.15099
123	-9.20435
124	-10.52614
125	-12.22321
126	-14.49538
127	-17.78703
128	-23.47382
129	-41.25917
130	-23.77562
131	-17.59252
132	-13.97763
133	-11.42514
134	-9.46341
135	-7.88309
136	-6.57269
137	-5.46592
138	-4.5201
139	-3.70623
140	-3.00372
141	-2.39746
142	-1.87613
143	-1.431
144	-1.05529
145	-0.74366
146	-0.49183
147	-0.29642
148	-0.1547
149	-0.06447
150	-0.02398
151	-0.03182
152	-0.08686
153	-0.18817
154	-0.33493
155	-0.52642
156	-0.76184
157	-1.04028
158	-1.36051
159	-1.72082
160	-2.11878
161	-2.55089
162	-3.01226
163	-3.49606
164	-3.99317
165	-4.49174
166	-4.97717
167	-5.43268
168	-5.84055
169	-6.18455
170	-6.45269
171	-6.6398
172	-6.74877
173	-6.78993
174	-6.77879
175	-6.7331
176	-6.67026
177	-6.60544
178	-6.55064
179	-6.5144
180	-6.50177
