x,y,Peels
0.0,0.0,0.027189187696
0.0,103.125,0.0025071326025
0.0,18.75,0.024259050482
0.0,28.125,0.021082098806
0.0,37.5,0.017983097807
0.0,46.875,0.019205200801
0.0,56.25,0.021683083447
0.0,65.625,0.030673702054
0.0,75.0,0.04052647218
0.0,84.375,0.01336075214
0.0,9.375,0.027794359416
0.0,93.75,0.0054856222562
103.125,0.0,0.0025071328673
103.125,103.125,8.6282301697e-05
103.125,18.75,0.00208541963
103.125,28.125,0.0016787915621
103.125,37.5,0.0012736984797
103.125,46.875,0.00092651135874
103.125,56.25,0.00065332825424
103.125,65.625,0.0004498835363
103.125,75.0,0.00030402066892
103.125,84.375,0.00020229762414
103.125,9.375,0.002392999336
103.125,93.75,0.00013286330113
18.75,0.0,0.024259054867
18.75,103.125,0.0020854193404
18.75,18.75,0.020855060432
18.75,28.125,0.019971679244
18.75,37.5,0.020595650229
18.75,46.875,0.021189765214
18.75,56.25,0.025803315319
18.75,65.625,0.03409973389
18.75,75.0,0.02693611143
18.75,84.375,0.0098742650273
18.75,9.375,0.024183031495
18.75,93.75,0.0043641170386
28.125,0.0,0.021082090664
28.125,103.125,0.0016787915343
28.125,18.75,0.019971670421
28.125,28.125,0.019864206594
28.125,37.5,0.017724245888
28.125,46.875,0.020854532583
28.125,56.25,0.025875897078
28.125,65.625,0.03175916698
28.125,75.0,0.015196891327
28.125,84.375,0.0069025396151
28.125,9.375,0.020408274855
28.125,93.75,0.0033410144676
37.5,0.0,0.017983081735
37.5,103.125,0.0012736984623
37.5,18.75,0.02059565024
37.5,28.125,0.017724247401
37.5,37.5,0.017942336815
37.5,46.875,0.018592052834
37.5,56.25,0.025198131601
37.5,65.625,0.024715650308
37.5,75.0,0.0096339634006
37.5,84.375,0.0046981235173
37.5,9.375,0.021029009723
37.5,93.75,0.0024183759564
46.875,0.0,0.019205202128
46.875,103.125,0.0009265113619
46.875,18.75,0.021189773488
46.875,28.125,0.020854531946
46.875,37.5,0.01859205207
46.875,46.875,0.020417127449
46.875,56.25,0.023720938781
46.875,65.625,0.012871519926
46.875,75.0,0.0060313341375
46.875,84.375,0.0031334233859
46.875,9.375,0.017572063775
46.875,93.75,0.0016900576285
56.25,0.0,0.021683083819
56.25,103.125,0.00065332831449
56.25,18.75,0.02580331548
56.25,28.125,0.025875896313
56.25,37.5,0.025198126302
56.25,46.875,0.023720938945
56.25,56.25,0.014966870698
56.25,65.625,0.006897953887
56.25,75.0,0.0036891835769
56.25,84.375,0.002041300611
56.25,9.375,0.02296016418
56.25,93.75,0.00114989253
65.625,0.0,0.030673703405
65.625,103.125,0.00044988354167
65.625,18.75,0.03409973523
65.625,28.125,0.031759168204
65.625,37.5,0.02471564046
65.625,46.875,0.012871513335
65.625,56.25,0.0068979538244
65.625,65.625,0.0039230613384
65.625,75.0,0.0022532639645
65.625,84.375,0.0013101188261
65.625,9.375,0.032464269827
65.625,93.75,0.00076680013922
75.0,0.0,0.040526455285
75.0,103.125,0.00030402063467
75.0,18.75,0.026936109039
75.0,28.125,0.015196894701
75.0,37.5,0.0096339630425
75.0,46.875,0.0060313336822
75.0,56.25,0.0036891834184
75.0,65.625,0.0022532639125
75.0,75.0,0.0013703130651
75.0,84.375,0.00083129739551
75.0,9.375,0.037168474936
75.0,93.75,0.00050337146604
84.375,0.0,0.013360753393
84.375,103.125,0.00020229764776
84.375,18.75,0.0098742659449
84.375,28.125,0.0069025392917
84.375,37.5,0.0046981226594
84.375,46.875,0.0031334231475
84.375,56.25,0.0020413008341
84.375,65.625,0.0013101175646
84.375,75.0,0.00083129741826
84.375,84.375,0.00052267324137
84.375,9.375,0.012458247873
84.375,93.75,0.00032621970827
9.375,0.0,0.02779439678
9.375,103.125,0.0023929994924
9.375,18.75,0.024183039909
9.375,28.125,0.020408274441
9.375,37.5,0.021029001982
9.375,46.875,0.017572061751
9.375,56.25,0.022960162703
9.375,65.625,0.032464271079
9.375,75.0,0.0371684767
9.375,84.375,0.012458247498
9.375,9.375,0.02621621366
9.375,93.75,0.0051826986659
93.75,0.0,0.0054856220369
93.75,103.125,0.00013286331784
93.75,18.75,0.0043641161733
93.75,28.125,0.003341012198
93.75,37.5,0.0024183754832
93.75,46.875,0.0016900577352
93.75,56.25,0.0011498933023
93.75,65.625,0.00076680026224
93.75,75.0,0.00050337150982
93.75,84.375,0.00032621971984
93.75,9.375,0.0051826983427
93.75,93.75,0.00020915350439
