ev,Peels,error
3.0,-0.001297920240482249,0.002166545061043076
3.12,0.0005944286317010836,0.004077718213090906
3.25,0.005839982150219879,0.004145678524143307
3.37,0.0038689411269799737,0.0007063664413595838
3.5,0.001296901316716939,0.001075418223828829
3.62,0.004058320436660578,0.0008960102740231307
3.74,0.0002679187297060731,0.0004067941060550524
3.87,0.00023578286224167902,8.717696606724304e-05
3.99,0.00033913919250168367,9.914169817723633e-05
4.12,0.0004276650485082596,0.00010774249498340676
4.24,0.00044867457945129904,0.00010725734386355496
4.36,0.0004364595898011549,0.00010263980679453865
4.49,0.0004177105648898266,9.780403414615089e-05
4.61,0.000403724791990268,9.480414974509452e-05
4.74,0.00038516935083975746,9.123466594045514e-05
4.86,0.00036493367686529516,8.75056041043171e-05
4.98,0.0003462505788958006,8.393665020701703e-05
5.11,0.0003236330011796221,7.955744821366083e-05
